customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Charges.Daily
0057-QBUQH,False,Female,0,False,True,43,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Electronic check,25.1,1070.15,0.8366666666666667
0058-EVZWM,False,Female,0,True,False,55,True,True,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.8,4959.6,2.993333333333333
0060-FUALY,False,Female,0,True,False,59,True,True,Fiber optic,True,True,False,False,True,False,Month-to-month,True,Electronic check,94.75,5597.65,3.158333333333333
0064-SUDOG,False,Female,0,True,True,12,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.3,224.5,0.6766666666666666
0064-YIJGF,False,Male,0,True,True,27,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.75,1929.0,2.525
0067-DKWBL,True,Male,1,False,False,2,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,49.25,91.1,1.6416666666666666
0068-FIGTF,False,Female,0,False,False,27,True,False,DSL,False,True,True,True,True,True,One year,False,Mailed check,78.2,2078.95,2.606666666666667
0071-NDAFP,False,Male,0,True,True,25,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.5,630.6,0.85
0074-HDKDG,False,Male,0,True,True,25,True,False,DSL,True,True,True,False,False,False,One year,True,Bank transfer (automatic),61.6,1611.0,2.0533333333333332
0076-LVEPS,False,Male,0,False,True,29,False,No phone service,DSL,True,True,True,True,False,False,Month-to-month,True,Mailed check,45.0,1242.45,1.5
0078-XZMHT,False,Male,0,True,False,72,True,True,DSL,False,True,True,True,True,True,Two year,True,Bank transfer (automatic),85.15,6316.2,2.8383333333333334
0080-EMYVY,False,Female,0,False,False,14,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),51.45,727.85,1.715
0080-OROZO,False,Female,0,False,False,35,True,False,Fiber optic,False,False,True,True,True,True,One year,True,Electronic check,99.25,3532.0,3.308333333333333
0082-LDZUE,False,Male,0,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Mailed check,44.3,44.3,1.4766666666666666
0082-OQIQY,False,Male,0,False,False,29,True,False,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,94.2,2607.6,3.14
0083-PIVIK,False,Male,0,False,False,64,True,True,DSL,True,True,True,True,True,False,One year,False,Electronic check,81.25,5567.55,2.7083333333333335
0089-IIQKO,False,Female,0,True,True,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),99.95,3767.4,3.3316666666666666
0093-EXYQL,False,Female,1,False,False,40,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,91.55,3673.6,3.0516666666666667
0093-XWZFY,True,Male,0,False,False,40,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Credit card (automatic),104.5,4036.85,3.4833333333333334
0094-OIFMO,True,Female,1,False,False,11,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,95.0,1120.3,3.1666666666666665
0096-BXERS,False,Female,0,True,False,6,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,50.35,314.55,1.6783333333333335
0096-FCPUF,False,Male,0,False,False,30,True,True,DSL,True,False,False,False,False,True,Month-to-month,True,Mailed check,64.5,1888.45,2.15
0098-BOWSO,False,Male,0,False,False,27,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.4,529.8,0.6466666666666666
0100-DUVFC,False,Male,1,True,False,70,True,True,Fiber optic,False,True,True,False,True,True,One year,True,Electronic check,104.8,7308.95,3.493333333333333
0103-CSITQ,False,Female,0,True,False,57,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Bank transfer (automatic),109.4,6252.7,3.646666666666667
0104-PPXDV,False,Male,0,True,False,58,True,False,DSL,False,False,True,False,False,False,One year,False,Credit card (automatic),50.3,2878.55,1.6766666666666665
0106-GHRQR,False,Male,0,False,False,16,True,True,DSL,False,True,True,False,False,True,Month-to-month,True,Bank transfer (automatic),71.4,1212.1,2.3800000000000003
0106-UGRDO,False,Female,0,True,False,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,116.0,8182.85,3.8666666666666667
0107-WESLM,True,Male,0,False,False,1,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,19.85,19.85,0.6616666666666667
0107-YHINA,True,Male,0,False,True,1,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.75,99.75,3.325
0111-KLBQG,False,Male,1,True,True,32,True,False,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Mailed check,93.95,2861.45,3.131666666666667
0112-QAWRZ,False,Male,0,True,True,16,True,True,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Bank transfer (automatic),90.8,1442.2,3.0266666666666664
0112-QWPNC,True,Male,0,True,False,49,True,True,DSL,True,False,True,True,True,True,One year,False,Electronic check,84.35,4059.35,2.8116666666666665
0114-IGABW,False,Female,0,True,False,71,False,No phone service,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),58.25,4145.9,1.9416666666666667
0114-PEGZZ,False,Female,0,False,False,33,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,False,Electronic check,107.55,3645.5,3.585
0114-RSRRW,False,Female,0,True,False,10,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Bank transfer (automatic),19.95,187.75,0.6649999999999999
0115-TFERT,True,Male,0,True,False,21,True,True,Fiber optic,False,True,True,True,True,True,Month-to-month,True,Electronic check,111.2,2317.1,3.7066666666666666
0117-LFRMW,True,Male,0,True,True,37,False,No phone service,DSL,True,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),40.2,1448.8,1.34
0118-JPNOY,False,Female,1,False,False,26,True,False,Fiber optic,True,False,False,False,True,False,Month-to-month,True,Credit card (automatic),85.8,2193.65,2.86
0120-YZLQA,,Male,0,False,False,71,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Credit card (automatic),19.9,1355.1,0.6633333333333333
0121-SNYRK,False,Male,0,False,False,50,False,No phone service,DSL,True,False,False,True,False,False,One year,True,Mailed check,35.4,1748.9,1.18
0122-OAHPZ,True,Female,0,False,False,7,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,73.85,511.25,2.4616666666666664
0123-CRBRT,False,Female,0,True,True,61,True,True,DSL,True,True,True,True,True,True,Two year,False,Mailed check,88.1,5526.75,2.9366666666666665
0125-LZQXK,True,Male,0,False,False,15,True,False,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,101.35,1553.95,3.378333333333333
0128-MKWSG,False,Female,0,False,True,26,False,No phone service,DSL,True,False,False,True,False,True,Month-to-month,False,Mailed check,45.8,1147.0,1.5266666666666666
0129-KPTWJ,False,Male,0,True,False,72,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,94.65,6747.35,3.1550000000000002
0129-QMPDR,False,Male,0,True,True,44,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),20.5,865.05,0.6833333333333333
0130-SXOUN,False,Male,0,False,False,66,True,True,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Credit card (automatic),89.4,5976.9,2.98
0133-BMFZO,True,Female,0,False,False,2,True,False,Fiber optic,True,True,False,True,False,False,Month-to-month,True,Electronic check,86.25,181.65,2.875
0134-XWXCE,False,Female,1,False,False,44,True,False,DSL,False,False,True,True,True,True,One year,False,Bank transfer (automatic),74.85,3268.05,2.4949999999999997
0135-NMXAP,True,Female,0,False,False,12,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.75,1052.4,2.9916666666666667
0136-IFMYD,False,Male,1,True,False,69,True,True,Fiber optic,False,True,True,True,True,True,Two year,True,Electronic check,109.95,7634.25,3.665
0137-OCGAB,True,Female,0,False,False,1,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Mailed check,80.2,80.2,2.6733333333333333
0137-UDEUO,True,Female,0,False,False,3,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.85,63.75,0.6616666666666667
0139-IVFJG,False,Female,0,True,False,2,True,False,Fiber optic,True,True,False,False,True,False,Month-to-month,False,Electronic check,90.35,190.5,3.0116666666666663
0141-YEAYS,False,Female,1,False,False,27,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),86.45,2401.05,2.881666666666667
0142-GVYSN,False,Male,0,False,False,26,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,True,Electronic check,20.3,511.25,0.6766666666666666
0147-ESWWR,False,Female,1,True,False,39,True,True,Fiber optic,False,False,False,True,True,True,Month-to-month,True,Electronic check,101.25,3949.15,3.375
0148-DCDOS,True,Male,0,False,False,25,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Bank transfer (automatic),94.7,2362.1,3.1566666666666667
0151-ONTOV,True,Female,0,False,False,1,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,False,Mailed check,70.9,70.9,2.3633333333333337
0154-QYHJU,,Male,0,False,False,29,True,False,DSL,True,True,False,True,False,False,One year,True,Electronic check,58.75,1696.2,1.9583333333333333
0156-FVPTA,True,Male,0,True,False,22,True,False,DSL,True,False,False,True,False,False,Month-to-month,True,Electronic check,54.2,1152.7,1.8066666666666669
0162-RZGMZ,,Female,1,False,False,5,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.9,287.85,1.9966666666666666
0164-APGRB,False,Female,0,False,False,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,114.9,8496.7,3.83
0164-XAIRP,False,Female,0,False,False,24,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Bank transfer (automatic),19.55,470.2,0.6516666666666667
0168-XZKBB,False,Female,0,True,False,19,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,86.85,1564.4,2.895
0174-QRVVY,False,Male,0,True,True,71,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Credit card (automatic),25.35,1847.55,0.8450000000000001
0177-PXBAT,False,Male,1,True,False,33,True,True,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Bank transfer (automatic),109.9,3694.7,3.6633333333333336
0178-CIIKR,False,Female,0,False,False,3,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.95,58.0,0.6649999999999999
0178-SZBHO,False,Male,0,True,True,47,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,False,Electronic check,87.2,4017.45,2.9066666666666667
0181-RITDD,False,Male,0,True,True,62,True,False,Fiber optic,True,True,True,True,True,True,Two year,False,Mailed check,108.15,6825.65,3.605
0186-CAERR,False,Male,0,False,False,71,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Bank transfer (automatic),116.3,8309.55,3.8766666666666665
0187-QSXOE,False,Male,1,True,False,7,True,False,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,89.0,605.45,2.966666666666667
0187-WZNAB,False,Female,0,True,True,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Mailed check,74.4,1972.35,2.48
0188-GWFLE,False,Male,0,False,False,2,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,20.05,33.7,0.6683333333333333
0191-EQUUH,False,Female,0,False,True,25,False,No phone service,DSL,True,False,False,True,False,False,Two year,False,Bank transfer (automatic),35.05,844.45,1.1683333333333332
0191-ZHSKZ,False,Male,1,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.3,2.4916666666666667
0193-ESZXP,True,Female,1,True,False,58,True,False,Fiber optic,True,True,False,True,True,True,One year,True,Credit card (automatic),105.5,6205.5,3.5166666666666666
0195-IESCP,True,Male,0,True,False,10,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,85.25,855.3,2.841666666666667
0196-JTUQI,False,Female,0,False,False,9,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Credit card (automatic),75.2,633.85,2.506666666666667
0196-VULGZ,True,Female,1,True,False,6,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.35,474.9,2.8116666666666665
0197-PNKNK,False,Female,0,True,True,69,True,True,Fiber optic,True,False,True,False,False,False,One year,False,Bank transfer (automatic),84.45,5848.6,2.815
0201-MIBOL,False,Female,1,False,False,66,True,True,Fiber optic,True,False,False,False,True,True,Two year,True,Bank transfer (automatic),102.4,6471.85,3.4133333333333336
0201-OAMXR,True,Female,0,False,False,70,True,True,Fiber optic,True,True,True,True,True,True,One year,False,Credit card (automatic),115.55,8127.6,3.8516666666666666
0203-HHYIJ,True,Male,0,False,False,25,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Bank transfer (automatic),25.3,676.35,0.8433333333333334
0206-OYVOC,False,Female,0,True,True,46,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,True,Mailed check,19.25,864.2,0.6416666666666667
0206-TBWLC,False,Female,0,True,False,54,True,True,Fiber optic,True,True,True,True,True,True,One year,True,Mailed check,114.65,6049.5,3.8216666666666668
0207-MDKNV,True,Female,0,False,False,15,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,False,Electronic check,105.1,1582.75,3.503333333333333
0208-BPQEJ,False,Female,0,True,True,12,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Bank transfer (automatic),19.4,198.1,0.6466666666666666
0212-ISBBF,False,Female,0,False,False,22,False,No phone service,DSL,False,True,False,False,True,True,Month-to-month,True,Electronic check,50.35,1098.85,1.6783333333333335
0214-JHPFW,False,Female,0,True,False,70,False,No phone service,DSL,False,True,True,True,True,True,Two year,False,Bank transfer (automatic),57.8,4039.3,1.9266666666666665
0215-BQKGS,False,Male,0,False,False,30,True,False,Fiber optic,True,True,True,False,False,False,Month-to-month,True,Credit card (automatic),84.3,2438.6,2.81
0218-QNVAS,False,Male,0,True,True,71,True,True,Fiber optic,False,True,False,False,True,True,One year,False,Bank transfer (automatic),100.55,7113.75,3.3516666666666666
0219-QAERP,False,Male,0,True,False,30,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Credit card (automatic),19.8,576.65,0.66
0219-YTZUE,True,Male,0,True,True,4,True,True,Fiber optic,False,True,True,False,False,False,Month-to-month,True,Bank transfer (automatic),84.8,371.9,2.8266666666666667
0220-EBGCE,True,Male,0,False,False,2,True,False,Fiber optic,False,False,True,False,False,True,Month-to-month,True,Electronic check,85.85,167.3,2.8616666666666664
0221-NAUXK,False,Male,0,False,True,10,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,True,Bank transfer (automatic),19.95,219.5,0.6649999999999999
0221-WMXNQ,False,Male,1,False,False,4,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,False,Electronic check,75.35,273.4,2.5116666666666663
0222-CNVPT,False,Male,1,False,False,52,False,No phone service,DSL,True,False,False,False,True,True,Month-to-month,True,Credit card (automatic),48.8,2555.05,1.6266666666666665
0224-HJAPT,True,Male,0,False,False,5,True,True,DSL,False,False,False,False,False,False,Month-to-month,False,Electronic check,47.15,223.15,1.5716666666666665
0224-NIJLP,False,Male,0,True,True,8,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Mailed check,20.15,165.5,0.6716666666666666
0224-RLWWD,False,Female,1,False,False,2,True,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,44.3,89.3,1.4766666666666666
0225-ZORZP,False,Male,0,False,False,3,True,False,Fiber optic,False,True,False,False,False,True,Month-to-month,False,Electronic check,84.3,235.05,2.81
0228-MAUWC,False,Male,0,False,False,19,True,True,DSL,False,False,True,True,False,False,Month-to-month,False,Electronic check,59.55,1144.6,1.9849999999999999
0229-LFJAF,False,Male,0,False,False,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.65,4908.25,2.3216666666666668
0230-UBYPQ,False,Male,1,True,False,63,False,No phone service,DSL,True,False,False,True,False,False,One year,False,Bank transfer (automatic),36.1,2298.9,1.2033333333333334
0230-WEQUW,False,Male,0,True,False,66,False,No phone service,DSL,True,True,True,True,True,False,Two year,True,Bank transfer (automatic),56.6,3789.2,1.8866666666666667
0231-LXVAP,True,Male,0,False,False,1,True,False,Fiber optic,False,False,False,True,False,False,Month-to-month,True,Electronic check,75.9,75.9,2.5300000000000002
0233-FTHAV,False,Female,0,False,False,60,True,True,Fiber optic,False,False,True,False,False,False,One year,True,Bank transfer (automatic),79.2,4765.0,2.64
0234-TEVTT,False,Female,0,True,True,48,False,No phone service,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,True,Female,0,False,False,1,True,False,Fiber optic,False,False,True,False,True,False,Month-to-month,True,Credit card (automatic),85.55,85.55,2.8516666666666666
0236-HFWSV,True,Male,0,False,False,15,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,93.35,1444.65,3.1116666666666664
0237-YFUTL,False,Female,0,True,False,50,True,True,Fiber optic,True,True,False,True,True,True,Month-to-month,True,Bank transfer (automatic),109.65,5405.8,3.6550000000000002
0238-WHBIQ,False,Male,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Credit card (automatic),89.7,6339.3,2.99
0239-OXEXL,False,Female,0,False,False,46,True,True,Fiber optic,True,True,False,False,False,False,Month-to-month,False,Mailed check,84.25,3847.6,2.808333333333333
0244-LGNFY,False,Female,0,True,True,72,True,True,DSL,True,True,True,True,True,True,Two year,False,Bank transfer (automatic),92.65,6733.0,3.0883333333333334
0247-SLUJI,False,Male,0,True,True,1,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Mailed check,19.7,19.7,0.6566666666666666
0248-IPDFW,False,Female,0,False,False,1,True,True,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,50.1,50.1,1.6700000000000002
0248-PGHBZ,False,Female,1,False,False,67,True,False,Fiber optic,True,True,False,True,True,False,Two year,True,Bank transfer (automatic),92.45,6140.85,3.0816666666666666
0253-ZTEOB,False,Female,0,True,True,48,True,True,DSL,False,True,False,True,True,True,Two year,False,Electronic check,79.65,3870.3,2.6550000000000002
0254-FNMCI,False,Female,0,False,False,72,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Electronic check,109.9,7624.2,3.6633333333333336
0254-KCJGT,False,Male,0,True,False,52,True,True,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),81.4,4354.45,2.7133333333333334
0254-WWRKD,False,Female,0,True,True,67,True,False,DSL,False,True,False,False,False,False,One year,False,Credit card (automatic),50.55,3431.75,1.6849999999999998
0256-LTHVJ,True,Female,0,True,True,28,True,False,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,81.05,2227.1,2.7016666666666667
0257-KXZGU,False,Female,0,True,True,32,True,True,DSL,False,True,True,False,False,False,Month-to-month,False,Bank transfer (automatic),62.45,2045.55,2.0816666666666666
0257-ZESQC,True,Female,1,True,False,27,True,False,Fiber optic,True,False,False,False,False,False,Month-to-month,True,Bank transfer (automatic),75.2,1929.35,2.506666666666667
0258-NOKBL,False,Male,0,False,False,3,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,False,Electronic check,90.4,268.45,3.0133333333333336
0259-GBZSH,True,Male,0,False,False,2,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,85.65,181.5,2.855
0260-ZDLGK,True,Female,0,False,True,9,True,False,DSL,False,False,True,True,True,True,Month-to-month,True,Mailed check,72.9,651.4,2.43
0263-FJTQO,False,Male,0,True,True,50,True,True,DSL,True,False,False,True,True,False,Two year,True,Credit card (automatic),70.5,3486.65,2.35
0264-CNITK,False,Female,0,True,True,71,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,False,Bank transfer (automatic),20.1,1389.6,0.67
0265-EDXBD,True,Male,1,True,False,32,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,74.9,2303.35,2.496666666666667
0265-PSUAE,False,Female,0,True,True,16,True,False,Fiber optic,True,False,True,False,True,True,Month-to-month,False,Bank transfer (automatic),100.7,1522.7,3.356666666666667
0266-CLZKZ,False,Female,0,True,True,67,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Bank transfer (automatic),105.65,6717.9,3.521666666666667
0266-GMEAO,False,Male,0,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),114.3,8058.55,3.81
0268-QKIWO,True,Female,0,False,False,3,True,False,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,False,Electronic check,19.75,58.85,0.6583333333333333
0269-XFESX,False,Male,0,True,True,23,True,True,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,False,Mailed check,24.35,538.5,0.8116666666666668
0270-THENM,False,Male,0,True,True,72,True,True,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),69.85,5102.35,2.328333333333333
